ID,Title,Quarter,Week,Phase,Workstream,Product Area,Status,Priority,Dependencies,Touches,Description
Q1-01,Unified platform shell + navbar,Q1,Week 1,Shell + Structure,Platform Unification,Platform,Not Started,P0,,"Hub; all app layouts; WorkOS feature flags; routing",Role-aware sidebar replacing Hub launcher grid. Update each app's LoggedLayout to shared nav. Studio sections for all users — Console sections for authorized users.
Q1-02,Engagements rename,Q1,Week 1,Shell + Structure,Engagement Restructure,Console,Not Started,P0,Q1-01,"Workbench; Client Portal; PlaybookTransitionProvider; sidebar",Rename Playbook routes/components to Engagements throughout Workbench and Client Portal. Significant codebase rename — no behavioral change.
Q1-03,New top-level Playbook,Q1,Week 1,Shell + Structure,Engagement Restructure,Workbench,Not Started,P0,Q1-02,"Workbench; winning_moves table; new Playbook routes",Create Playbook as new section in Workbench. Move winning moves UI from inside activities. Add narrative/context content area (markdown-based).
Q1-04,Cards behind flag,Q1,Week 1,Shell + Structure,Platform Unification,Studio,Not Started,P1,Q1-01,"WorkOS feature flags; Cards app (3004); navigation",Set feature-cards default off for new orgs. Remove Cards from Studio nav. App stays functional for existing flagged users.
Q1-05,Child tasks + assignments + collaboration,Q1,Week 1,Shell + Structure,Engagement Restructure,Console + Workbench,Not Started,P0,,"activities table; activity_assignments; activity_comments; Workbench; Client Portal","Add parent_activity_id (self-referential FK) to activities table. Nested CRUD API. Tree UI in Workbench + Client Portal. Assign tasks to any user (Tatoma consultants AND client-side users) — triggers notifications and surfaces in personal task views. Public comments tree (visible to client + Tatoma). Private notes tree (Tatoma consultants only). Both threaded with @mention support and notification hooks."
Q1-06,Date range timeframes,Q1,Week 1,Shell + Structure,Engagement Restructure,Console + Workbench,Not Started,P0,Q1-05,"activities table; Client Portal 'Our Planning'; Workbench planning view",Migrate time_bucket enum to start_date + end_date. Quarter membership computed from dates. Enables Gantt-style timeline rendering.
Q1-07,Prompt library consolidation,Q1,Week 1,Shell + Structure,Studio Experience,Studio,Not Started,P0,Q1-01,"Prompts app (3003); Library app (3005); collections; sharing; S2S card generation",Merge Prompts AI structuring with Library's collection/sharing model into unified Studio section. Personal library — team sharing — AI-assisted refinement. Primary lock-in feature.
Q1-08,Personal use case generator,Q1,Week 2,Studio Experience,Studio Experience,Studio,Not Started,P0,Q1-07,"Groq integration; new use case tables; Prompts links",Conversational AI flow using Groq. Suggests use cases based on role/tasks/pain points. Personal use case library with 'try it' links to relevant prompts.
Q1-09,Lightweight LMS engine,Q1,Weeks 2–3,LMS + xAPI,Learning Infrastructure,Studio,Not Started,P0,Q1-01,"Academy app (3002); new tables (learning_paths; modules; assessments)",Learning paths — modules (markdown + video + exercise + assessment) — progress tracking. Replaces Academy JSONB carousel. Assessment engine with JSONB quiz arrays and pass/fail.
Q1-10,AI Foundations content,Q1,Weeks 4–5,Content + Certificates,Learning Infrastructure,Studio,Not Started,P1,Q1-09,"learning_paths; modules tables; content files",First learning path (6–8 modules). Co-founder outlines + AI-assisted expansion. Needs team involvement for content quality bar.
Q1-11,Certificate generation,Q1,Weeks 4–5,Content + Certificates,Learning Infrastructure,Studio,Not Started,P1,Q1-09,"PDF generation; verification URL; learning_paths",Branded PDF on learning path completion. Verification URL for external sharing.
Q1-12,xAPI statement generation,Q1,Week 3,LMS + xAPI,Learning Infrastructure,Platform,Not Started,P0,Q1-09,"xAPI endpoint; module events; Cornerstone/SAP SuccessFactors integration",Emit xAPI statements for key events (module started — completed — assessment scored — certificate earned). Build export endpoint. Enterprise LMS unlock.
Q1-13,Nudge system v1,Q1,Week 6,Nudge System,Learning Infrastructure,Platform,Not Started,P2,"Q1-09; Q1-12","Resend; notifications table; notification_recipients table; webhook pipeline",Weekly digest email via Resend. Reuse existing notification infrastructure.
Q2-01,Guided refresh workflow,Q2,,Engagement Intelligence,Engagement Restructure,Console,Not Started,P0,Q1-05; Q1-06,"Workbench; research pipeline patterns; document upload; context extraction",4 weeks pre-session: TL completes step-by-step questionnaire (progress sentiment — winning move updates — blockers — new use cases). AI-generated summary for TL + consultant.
Q2-02,Quarterly check-in support,Q2,,Engagement Intelligence,Engagement Restructure,Console,Not Started,P0,Q2-01,"Workbench; activity data; refresh data",Pre-session briefing page (auto-generated from refresh + activity data). Session outcome capture. Quarter-over-quarter comparison view.
Q2-03,Health signals + scorecard,Q2,,Engagement Intelligence,Engagement Restructure,Console,Not Started,P1,Q1-05; Q1-06,"activities; winning_moves; caching (1h TTL)",Activity overdue/stale detection — progress indicators per winning move — transformation scorecard widget. Computed on page load — cached.
Q2-04,Sprint workflow v1,Q2,,Engagement Intelligence,Engagement Restructure,Console + Workbench,Not Started,P0,Q1-05,"Workbench; activities; new sprint tables","'Request a Sprint' flow from activities or use cases. Brief template with AI-assisted generation. Types: Spike (~2d) — Sprint (~1w) — Special (variable)."
Q2-05,Prompt refiner,Q2,,Studio Depth,Studio Experience,Studio,Not Started,P1,Q1-07,"Prompts app; Groq structuring",Paste a prompt that gave bad results — describe what went wrong — get AI-suggested improvements with explanations. Builds on existing Groq structuring.
Q2-06,Department use case templates,Q2,,Studio Depth,Studio Experience,Studio,Not Started,P2,Q1-08,"use case tables; employee department tag",Pre-built suggestions for HR — Marketing — Finance — Ops — IT — Sales. Auto-suggested based on employee's department tag.
Q2-07,Training session support,Q2,,Studio Depth,Studio Experience,Studio,Not Started,P1,Q1-09,"Academy; new training_sessions tables; Resend",Session catalog — materials hub (pre/during/post resources) — attendance tracking — post-session follow-up nudge.
Q2-08,Org-level analytics dashboard,Q2,,Studio Depth,Studio Experience,Console,Not Started,P1,"Q1-07; Q1-08; Q1-09","analytics views; cron jobs; department breakdown",Adoption metrics for TLs: registered employees — active users — path completions — use cases discovered — prompts created. Department breakdown. Computed daily via cron.
Q2-09,xAPI full endpoint,Q2,,Infrastructure,Learning Infrastructure,Platform,Not Started,P1,Q1-12,"xAPI endpoint; LMS configuration",Full endpoint that customers can configure their LMS to pull from (Cornerstone — SAP SuccessFactors etc.).
Q2-10,Nudge system v2,Q2,,Infrastructure,Learning Infrastructure,Platform,Not Started,P2,Q1-13,"Resend; notifications; notification_recipients","Health alerts (stale > 30d) — refresh reminders (4w + 2w) — status change notifications (consultant updates → TL email)."
Q2-11,Standardized relationships,Q2,,Infrastructure,Engagement Restructure,Console + Workbench,Not Started,P1,Q1-05,"activity_relations table; Asiot patterns",Implement Asiot template as canonical relationship model. Document patterns. Apply to all clients.
Q3-01,Studio integration (Cards),Q3,,Cards Consolidation,Studio Experience,Studio,Not Started,P0,"Q1-04; Q2-05","Cards app (3004); RAG pipeline; GenUI; knowledge files; Studio browsing",Cards reintroduced as inline tools within Studio. Run a card from a prompt — use case — or learning exercise. Card catalog becomes part of Studio browsing.
Q3-02,Unified tool experience,Q3,,Cards Consolidation,Studio Experience,Studio,Not Started,P0,Q3-01,"Prompts; use cases; Cards; cross-reference links","Prompts + use cases + cards as one coherent Studio with cross-references. A prompt generates a card. A use case links to prompts and cards. Module exercises invoke cards."
Q3-03,Sprint tracking + outcomes,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P0,Q2-04,"sprint tables; Playbook; activity_log","Full lifecycle: brief → scheduled → in_progress → delivered → reviewed. Post-sprint deliverables captured back into Playbook."
Q3-04,Relations view,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P1,Q2-11,"React Flow; activity_relations; standardized model",React Flow dependency graph using the standardized relationship model from Q2.
Q3-05,Timeline + Stream views,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P1,Q1-06,"activity_log; activity feed",Chronological activity feed + personalized stream. Uses existing activity_log data.
Q3-06,Quarter-over-quarter reporting,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P0,"Q2-02; Q2-08","analytics; completions; use cases; sprints; learning adoption",The renewal conversation view. Completion rates trending — use cases growing — sprints delivered — learning adoption from Studio side.
Q3-07,Export capabilities,Q3,,Console Completion,Engagement Restructure,Console,Not Started,P1,Q3-06,"PDF generation; transformation progress data",Shareable PDF/summary of transformation progress for stakeholder reporting.
Q3-08,Performance optimization,Q3,,Scale + Enterprise,Platform Unification,Platform,Not Started,P1,,"caching; rate limiting; cost controls per org","Caching strategy for 100-1000 user clients (read-heavy workload). Rate limiting on AI features. Cost controls per org."
Q3-09,Studio content sharing,Q3,,Scale + Enterprise,Studio Experience,Studio,Not Started,P2,"Q1-07; Q1-08","use cases; prompts; approval workflow",Employees share use cases + prompts within their org. Approval workflow for shared content.
Q3-10,Advanced notification preferences,Q3,,Scale + Enterprise,Learning Infrastructure,Platform,Not Started,P2,Q2-10,"notification_recipients; user preferences","Per-user toggles for email types (weekly digest — status changes — refresh reminders — learning nudges)."
Q3-11,Cross-client template library,Q3,,Scale + Enterprise,Studio Experience,Platform,Not Started,P2,"Q1-07; Q1-08; Q3-09","anonymized content; template tables",Anonymized best-of prompts and use case templates across all clients. The beginning of Tatoma's content moat.
